date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 15:07:26	1500 Hz	18 W	3,9E-4 mbar	3E-4 mbar
2020-03-10, 15:07:28	1500 Hz	19 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:30	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:32	1500 Hz	19 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:34	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:36	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:38	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:40	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:42	1500 Hz	19 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:07:44	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:07:46	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:07:48	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:07:50	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:07:52	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:07:54	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:07:56	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:07:58	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:00	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:02	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:04	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:06	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:08	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:10	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:12	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:14	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:16	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:18	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:20	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:22	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:24	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:26	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:28	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:30	1500 Hz	18 W	2,8E-3 mbar	1E-2 mbar
2020-03-10, 15:08:32	1500 Hz	16 W	4,3E-2 mbar	4,3E-2 mbar
2020-03-10, 15:08:34	1500 Hz	16 W	7,2E-2 mbar	6,9E-2 mbar
2020-03-10, 15:08:36	1500 Hz	17 W	9,3E-2 mbar	9,8E-2 mbar
2020-03-10, 15:08:38	1500 Hz	17 W	1,3E-1 mbar	1,2E-1 mbar
2020-03-10, 15:08:40	1499 Hz	24 W	5,6E-3 mbar	9,7E-3 mbar
2020-03-10, 15:08:42	1500 Hz	21 W	1,1E-3 mbar	1E-3 mbar
2020-03-10, 15:08:44	1500 Hz	18 W	1E-3 mbar	6E-4 mbar
2020-03-10, 15:08:46	1500 Hz	19 W	3,8E-4 mbar	5E-4 mbar
2020-03-10, 15:08:48	1500 Hz	20 W	3,7E-4 mbar	4E-4 mbar
2020-03-10, 15:08:50	1500 Hz	20 W	3,7E-4 mbar	3,5E-4 mbar
2020-03-10, 15:08:52	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:54	1500 Hz	18 W	3,7E-4 mbar	3,5E-4 mbar
2020-03-10, 15:08:56	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:08:58	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:09:00	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:09:02	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:09:04	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:09:06	1500 Hz	18 W	3,6E-4 mbar	3E-4 mbar
2020-03-10, 15:09:08	1500 Hz	18 W	3,6E-4 mbar	3E-4 mbar
2020-03-10, 15:09:10	1500 Hz	18 W	3,6E-4 mbar	3E-4 mbar
2020-03-10, 15:09:12	1500 Hz	19 W	1E-3 mbar	4,1E-3 mbar
2020-03-10, 15:09:14	1500 Hz	17 W	2,6E-2 mbar	2,7E-2 mbar
2020-03-10, 15:09:16	1500 Hz	17 W	5,9E-2 mbar	5,8E-2 mbar
2020-03-10, 15:09:18	1500 Hz	16 W	8,6E-2 mbar	8,3E-2 mbar
2020-03-10, 15:09:20	1500 Hz	17 W	1,2E-1 mbar	1,1E-1 mbar
2020-03-10, 15:09:22	1500 Hz	16 W	1,4E-1 mbar	1,4E-1 mbar
2020-03-10, 15:09:24	1500 Hz	16 W	1,7E-1 mbar	1,7E-1 mbar
2020-03-10, 15:09:26	1500 Hz	17 W	1,7E-1 mbar	1E-1 mbar
2020-03-10, 15:09:28	1499 Hz	24 W	2,1E-3 mbar	2,4E-3 mbar
2020-03-10, 15:09:30	1500 Hz	20 W	1,1E-3 mbar	8E-4 mbar
2020-03-10, 15:09:32	1500 Hz	18 W	1E-3 mbar	6E-4 mbar
2020-03-10, 15:09:34	1500 Hz	19 W	3,8E-4 mbar	4,5E-4 mbar
2020-03-10, 15:09:36	1500 Hz	19 W	3,7E-4 mbar	4E-4 mbar
2020-03-10, 15:09:38	1500 Hz	19 W	3,7E-4 mbar	4E-4 mbar
2020-03-10, 15:09:40	1500 Hz	19 W	3,7E-4 mbar	3,5E-4 mbar
2020-03-10, 15:09:42	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:09:44	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:09:46	1500 Hz	18 W	3,7E-4 mbar	3E-4 mbar
2020-03-10, 15:09:48	1500 Hz	19 W	3,7E-4 mbar	3E-4 mbar
